Membership No  Date Joined  Active  
    42173      2019-2-9     yes   
    57806      2020-8-18    yes   
    88938      2019-7-12    yes   
    50815      2017-4-22    yes   
    92022      2020-12-24   yes   
    21870      2017-6-1     yes   
    15765      2015-10-24   yes   
    76410      2020-3-6     yes   
    15091      2018-6-2     yes   
    17067      2018-1-10    yes   
    41413      2016-3-2     yes   
    68264      2020-1-11    yes   
    70906      2018-9-13    yes   
    90048      2015-8-4     yes   
